Date,Metric,Value
2000-01-04,rolling_corr,
2000-01-05,rolling_corr,
2000-01-06,rolling_corr,
2000-01-07,rolling_corr,
2000-01-10,rolling_corr,
2000-01-11,rolling_corr,
2000-01-12,rolling_corr,
2000-01-13,rolling_corr,
2000-01-14,rolling_corr,
2000-01-17,rolling_corr,
2000-01-18,rolling_corr,
2000-01-19,rolling_corr,
2000-01-20,rolling_corr,
2000-01-21,rolling_corr,
2000-01-24,rolling_corr,
2000-01-25,rolling_corr,
2000-01-26,rolling_corr,
2000-01-27,rolling_corr,
2000-01-28,rolling_corr,
2000-01-31,rolling_corr,
2000-02-01,rolling_corr,
2000-02-02,rolling_corr,
2000-02-03,rolling_corr,
2000-02-04,rolling_corr,
2000-02-07,rolling_corr,
2000-02-08,rolling_corr,
2000-02-09,rolling_corr,
2000-02-10,rolling_corr,
2000-02-11,rolling_corr,
2000-02-14,rolling_corr,
2000-02-15,rolling_corr,
2000-02-16,rolling_corr,
2000-02-17,rolling_corr,
2000-02-18,rolling_corr,
2000-02-21,rolling_corr,
2000-02-22,rolling_corr,
2000-02-23,rolling_corr,
2000-02-24,rolling_corr,
2000-02-25,rolling_corr,
2000-02-28,rolling_corr,
2000-02-29,rolling_corr,
2000-03-01,rolling_corr,
2000-03-02,rolling_corr,
2000-03-03,rolling_corr,
2000-03-06,rolling_corr,
2000-03-07,rolling_corr,
2000-03-08,rolling_corr,
2000-03-09,rolling_corr,
2000-03-10,rolling_corr,
2000-03-13,rolling_corr,
2000-03-14,rolling_corr,
2000-03-15,rolling_corr,
2000-03-16,rolling_corr,
2000-03-17,rolling_corr,
2000-03-20,rolling_corr,
2000-03-21,rolling_corr,
2000-03-22,rolling_corr,
2000-03-23,rolling_corr,
2000-03-24,rolling_corr,
2000-03-27,rolling_corr,0.06354913647079778
2000-03-28,rolling_corr,-0.04963917392476546
2000-03-29,rolling_corr,-0.04911410881824248
2000-03-30,rolling_corr,-0.01997558150695108
2000-03-31,rolling_corr,-0.061778725105828866
2000-04-03,rolling_corr,-0.07341930486322096
2000-04-04,rolling_corr,-0.08540605067950209
2000-04-05,rolling_corr,-0.08257098107108826
2000-04-06,rolling_corr,-0.07370853898654174
2000-04-07,rolling_corr,-0.08141094189328109
2000-04-10,rolling_corr,-0.07918742440261357
2000-04-11,rolling_corr,-0.08572092671306583
2000-04-12,rolling_corr,-0.08721707504530063
2000-04-13,rolling_corr,-0.10278005089507639
2000-04-14,rolling_corr,0.015224721358403852
2000-04-17,rolling_corr,-0.019047595506729083
2000-04-18,rolling_corr,-0.008670720423239105
2000-04-19,rolling_corr,-0.00856774150245277
2000-04-20,rolling_corr,0.00016839484741132637
2000-04-21,rolling_corr,-0.036631650157216776
2000-04-24,rolling_corr,-0.007890581756282058
2000-04-25,rolling_corr,-0.032928602588246474
2000-04-26,rolling_corr,-0.03589206210488786
2000-04-27,rolling_corr,-0.06407628836811338
2000-04-28,rolling_corr,-0.07421471938170893
2000-05-01,rolling_corr,-0.07426571664982394
2000-05-02,rolling_corr,-0.13408904324415077
2000-05-03,rolling_corr,-0.09358955770566971
2000-05-04,rolling_corr,-0.09401298936578993
2000-05-05,rolling_corr,-0.047026406507696586
2000-05-08,rolling_corr,-0.03652398879424701
2000-05-09,rolling_corr,-0.010533470488331032
2000-05-10,rolling_corr,0.025457315627700358
2000-05-11,rolling_corr,0.050194026750951234
2000-05-12,rolling_corr,0.06802412413074387
2000-05-15,rolling_corr,0.056847896549378524
2000-05-16,rolling_corr,0.07086209468717003
2000-05-17,rolling_corr,0.08779556697902505
2000-05-18,rolling_corr,0.0898048358825248
2000-05-19,rolling_corr,0.16672874529265638
2000-05-22,rolling_corr,0.18297652700313216
2000-05-23,rolling_corr,0.15989171553509585
2000-05-24,rolling_corr,0.15866112938770127
2000-05-25,rolling_corr,0.13362634655593061
2000-05-26,rolling_corr,0.12817192318688317
2000-05-29,rolling_corr,0.13572787867408814
2000-05-30,rolling_corr,0.143209062457625
2000-05-31,rolling_corr,0.14085326082047017
2000-06-01,rolling_corr,0.17420237133540104
2000-06-02,rolling_corr,0.1989327440078531
2000-06-05,rolling_corr,0.19795717212184072
2000-06-06,rolling_corr,0.23047957704127148
2000-06-07,rolling_corr,0.2632528565130478
2000-06-08,rolling_corr,0.2700723326364164
2000-06-09,rolling_corr,0.26537269376209716
2000-06-12,rolling_corr,0.268249265744818
2000-06-13,rolling_corr,0.2795328444118635
2000-06-14,rolling_corr,0.28354852445145245
2000-06-15,rolling_corr,0.29553260479415533
2000-06-16,rolling_corr,0.3023330173310351
2000-06-19,rolling_corr,0.28826878795965794
2000-06-20,rolling_corr,0.29428110828588094
2000-06-21,rolling_corr,0.2887138681637764
2000-06-22,rolling_corr,0.25091422542251374
2000-06-23,rolling_corr,0.2430507057861259
2000-06-26,rolling_corr,0.251753314438287
2000-06-27,rolling_corr,0.24770653867888218
2000-06-28,rolling_corr,0.24627803658630834
2000-06-29,rolling_corr,0.2431976746405831
2000-06-30,rolling_corr,0.24285282697254612
2000-07-03,rolling_corr,0.24942646064353893
2000-07-04,rolling_corr,0.24785377536806738
2000-07-05,rolling_corr,0.26331394478989345
2000-07-06,rolling_corr,0.2806053445938762
2000-07-07,rolling_corr,0.2220439426286823
2000-07-10,rolling_corr,0.26978078362474867
2000-07-11,rolling_corr,0.2698895333092329
2000-07-12,rolling_corr,0.27935080957950925
2000-07-13,rolling_corr,0.27599132728660647
2000-07-14,rolling_corr,0.28446271806179596
2000-07-17,rolling_corr,0.28503454990127747
2000-07-18,rolling_corr,0.3311870377149685
2000-07-19,rolling_corr,0.3337273425934762
2000-07-20,rolling_corr,0.3496799242798063
2000-07-21,rolling_corr,0.37752258236600483
2000-07-24,rolling_corr,0.3800471486515592
2000-07-25,rolling_corr,0.45450772177226306
2000-07-26,rolling_corr,0.422463656085288
2000-07-27,rolling_corr,0.42112038983251265
2000-07-28,rolling_corr,0.4469924392313407
2000-07-31,rolling_corr,0.44144372231098206
2000-08-01,rolling_corr,0.4339088418548835
2000-08-02,rolling_corr,0.4022055772643666
2000-08-03,rolling_corr,0.3518348894391769
2000-08-04,rolling_corr,0.3534131639379417
2000-08-07,rolling_corr,0.3955212006615083
2000-08-08,rolling_corr,0.38314691344650886
2000-08-09,rolling_corr,0.3495547921784323
2000-08-10,rolling_corr,0.3278785882625683
2000-08-11,rolling_corr,0.26027272953139224
2000-08-14,rolling_corr,0.26437221498911123
2000-08-15,rolling_corr,0.2850785065518095
2000-08-16,rolling_corr,0.29568843930060723
2000-08-17,rolling_corr,0.31334771323077926
2000-08-18,rolling_corr,0.31335778593038416
2000-08-21,rolling_corr,0.31853739644157447
2000-08-22,rolling_corr,0.3085070800930562
2000-08-23,rolling_corr,0.2974207544123904
2000-08-24,rolling_corr,0.25770567759034785
2000-08-25,rolling_corr,0.1910292167967702
2000-08-28,rolling_corr,0.18455977105671692
